poblacion,sitio,web,juego,tematica,max_jugadores,rango_precio,latitud,longitud,publicar,fecha,jugadores,valoracion,observaciones,foto,Team building,Personas,Pagina
Barcelona,Retobox,http://www.retobox.com,Capitán Pessoa,,2,,"41,43947900","2,19088530",si,,,,,,no,,
Barcelona,Retobox,http://www.retobox.com,Cabaret,,6,,"41,43947900","2,19088530",si,,,,,,,,
Barcelona,Roomin,http://www.roomin.es/es/,Roomin,,5,,"41,40454600","2,15310430",si,2015-12-13,Nadgi,"3,5",,,no,,
Barcelona,Room escape VIP,http://roomescapevip.com/,Monasterium,,6,,"41,36889420","2,13925640",si,,,,,,,,
Barcelona,Room of Riddle,http://barcelona.roomofriddles.com/,El capitán del puerto,,6,,"41,39078320","2,19716100",si,,,,,,no,,
Barcelona,Room of Riddle,http://barcelona.roomofriddles.com/,El coleccionista,,6,,"41,39078320","2,19716100",si,,,,,,no,,
Barcelona,Roombo Escape,http://roomboescape.es,Destiny,,6,,"41,37587620","2,14992800",si,,,,,,si,,
Barcelona,Señor escape,http://senorescape.es/,El prisionero,,7,,"41,40073540","2,17310810",si,,,,,,no,,
Barcelona,Señor escape,http://senorescape.es/,La isla,,10,,"41,40073540","2,17310810",si,,,,,,no,,
Barcelona,Señor escape,http://senorescape.es/,,,,,"41,40073540","2,17310810",no,,,,,,no,,
Barcelona,Simulacre vuit,http://roomescapesimulacrevuit.es/,Amazona,,6,,"41,42359850","2,17420770",si,2016-04-24,Nadia,3,,,no,,
Barcelona,Simulacre vuit,http://roomescapesimulacrevuit.es/,Firenze,,6,,"41,42359850","2,17420770",si,2016-04-24,Sergi,"2,5",,,no,,
Barcelona,Tactic room,http://www.tacticgame.es/,La casa paranormal,Terror,5,,"41,40734370","2,17472440",si,,,,,,no,,
Barcelona,Tactic room,http://www.tacticgame.es/,Chernóbil,,5,,"41,40734370","2,17472440",si,,,,,,no,,
